Al router 4  0
Tabla del Router 1
Al router 0  4
Al router 1  -1
Al router 2  1
Al router 3  2
Al router 4  2
Tabla del Router 2
Al router 0  4
Al router 1  2
Al router 2  -1
Al router 3  2
Al router 4  2
Tabla del Router 3
Al router 0  4
Al router 1  2
Al router 2  3
Al router 3  -1
Al router 4  2
Tabla del Router 4
Al router 0  4
Al router 1  2
Al router 2  4
Al router 3  2
Al router 4  -1
Recalculado
Tabla del Router 0
Al router 0  -1
Al router 1  0
Al router 2  1
Al router 3  1
Al router 4  2
Tabla del Router 1
Al router 0  1
Al router 1  -1
Al router 2  1
Al router 3  1
Al router 4  2
Tabla del Router 2
Al router 0  1
Al router 1  2
Al router 2  -1
Al router 3  1
Al router 4  2
Tabla del Router 3
Al router 0  1
Al router 1  3
Al router 2  1
Al router 3  -1
Al router 4  2
Tabla del Router 4
Al router 0  1
Al router 1  2
Al router 2  4
Al router 3  1
Al router 4  -1
Recalculado
Tabla del Router 0
Al router 0  -1
Al router 1  0
Al router 2  1
Al router 3  1
Al router 4  2
Tabla del Router 1
Al router 0  1
Al router 1  -1
Al router 2  1
Al router 3  1
Al router 4  2
Tabla del Router 2
Al router 0  1
Al router 1  2
Al router 2  -1
Al router 3  1
Al router 4  2
Tabla del Router 3
Al router 0  1
Al router 1  3
Al router 2  1
Al router 3  -1
Al router 4  2
Tabla del Router 4
Al router 0  1
Al router 1  2
Al router 2  4
Al router 3  1
Al router 4  -1
Recalculado
Tabla del Router 0
Al router 0  -1
Al router 1  0
Al router 2  1
Al router 3  1
Al router 4  2
Tabla del Router 1
Al router 0  1
Al router 1  -1
Al router 2  1
Al router 3  1
Al router 4  2
Tabla del Router 2
Al router 0  1
Al router 1  2
Al router 2  -1
Al router 3  1
Al router 4  2
Tabla del Router 3
Al router 0  1
Al router 1  3
Al router 2  1
Al router 3  -1
Al router 4  2
Tabla del Router 4
Al router 0  1
Al router 1  2
Al router 2  4
Al router 3  1
Al router 4  -1
Recalculado
Tabla del Router 0
Al router 0  -1
Al router 1  0
Al router 2  4
Al router 3  1
Al router 4  0
Tabla del Router 1
Al router 0  1
Al router 1  -1
Al router 2  1
Al router 3  1
Al router 4  2
Tabla del Router 2
Al router 0  4
Al router 1  2
Al router 2  -1
Al router 3  2
Al router 4  2
Tabla del Router 3
Al router 0  1
Al router 1  3
Al router 2  3
Al router 3  -1
Al router 4  2
Tabla del Router 4
Al router 0  4
Al router 1  2
Al router 2  4
Al router 3  2
Al router 4  -1
Recalculado
Tabla del Router 0
Al router 0  -1
Al router 1  0
Al router 2  1
Al router 3  1
Al router 4  2
Tabla del Router 1
Al router 0  1
Al router 1  -1
Al router 2  1
Al router 3  1
Al router 4  2
Tabla del Router 2
Al router 0  1
Al router 1  2
Al router 2  -1
Al router 3  1
Al router 4  2
Tabla del Router 3
Al router 0  1
Al router 1  3
Al router 2  1
Al router 3  -1
Al router 4  2
Tabla del Router 4
Al router 0  1
Al router 1  2
Al router 2  4
Al router 3  1
Al router 4  -1
Recalculado
Tabla del Router 0
Al router 0  -1
Al router 1  0
Al router 2  1
Al router 3  2
Al router 4  2
Tabla del Router 1
Al router 0  1
Al router 1  -1
Al router 2  1
Al router 3  2
Al router 4  2
Tabla del Router 2
Al router 0  1
Al router 1  2
Al router 2  -1
Al router 3  2
Al router 4  2
Tabla del Router 3
Al router 0  1
Al router 1  2
Al router 2  3
Al router 3  -1
Al router 4  2
Tabla del Router 4
Al router 0  1
Al router 1  2
Al router 2  4
Al router 3  2
Al router 4  -1
Recalculado
Tabla del Router 0
Al router 0  -1
Al router 1  0
Al router 2  1
Al router 3  2
Al router 4  2
Tabla del Router 1
Al router 0  1
Al router 1  -1
Al router 2  1
Al router 3  2
Al router 4  2
Tabla del Router 2
Al router 0  1
Al router 1  2
Al router 2  -1
Al router 3  2
Al router 4  2
Tabla del Router 3
Al router 0  1
Al router 1  2
Al router 2  3
Al router 3  -1
Al router 4  2
Tabla del Router 4
Al router 0  1
Al router 1  2
Al router 2  4
Al router 3  2
Al router 4  -1
Recalculado
Tabla del Router 0
Al router 0  -1
Al router 1  0
Al router 2  1
Al router 3  2
Al router 4  2
Tabla del Router 1
Al router 0  1
Al router 1  -1
Al router 2  1
Al router 3  2
Al router 4  2
Tabla del Router 2
Al router 0  1
Al router 1  2
Al router 2  -1
Al router 3  2
Al router 4  2
Tabla del Router 3
Al router 0  1
Al router 1  2
Al router 2  3
Al router 3  -1
Al router 4  2
Tabla del Router 4
Al router 0  1
Al router 1  2
Al router 2  4
Al router 3  2
Al router 4  -1
Recalculado
Tabla del Router 0
Al router 0  -1
Al router 1  0
Al router 2  1
Al router 3  2
Al router 4  0
Tabla del Router 1
Al router 0  1
Al router 1  -1
Al router 2  1
Al router 3  2
Al router 4  2
Tabla del Router 2
Al router 0  1
Al router 1  2
Al router 2  -1
Al router 3  2
Al router 4  2
Tabla del Router 3
Al router 0  1
Al router 1  2
Al router 2  3
Al router 3  -1
Al router 4  2
Tabla del Router 4
Al router 0  4
Al router 1  2
Al router 2  4
Al router 3  2
Al router 4  -1
Recalculado
Tabla del Router 0
Al router 0  -1
Al router 1  0
Al router 2  1
Al router 3  2
Al router 4  0
Tabla del Router 1
Al router 0  1
Al router 1  -1
Al router 2  1
Al router 3  2
Al router 4  2
Tabla del Router 2
Al router 0  1
Al router 1  2
Al router 2  -1
Al router 3  2
Al router 4  2
Tabla del Router 3
Al router 0  1
Al router 1  2
Al router 2  3
Al router 3  -1
Al router 4  2
Tabla del Router 4
Al router 0  4
Al router 1  2
Al router 2  4
Al router 3  2
Al router 4  -1
